,findings_start_date,case_id,st_cd,industry,h2a_violtn_cnt,labor_intensity,Length_alleged_violtn,Avg_farm_size,Num_task_forces,Fatal_rate,poverty_rate,num_establishments_Fewer_20employees,Avg_net_farm_income,min_wage_federal
91,7/21/2011,1702442,DE,VEGETABLE AND MELON FARMING,0,1,0.825179856,-0.062111801,0,-0.4375,-0.292682927,-0.357422138,2.714326928,0
92,1/11/2013,1700588,NJ,FRUIT AND TREE NUT FARMING,0,1,0.048201439,-0.788819876,0,-0.4375,-1.219512195,-0.261965754,-0.200753863,0
93,8/1/2011,1626679,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.215107914,-0.068322981,0,-0.25,0,0.154644735,0.134413218,0
94,5/18/2011,1657256,AK,SUPPORT ACTIVITIES FOR FORESTRY,0,0,0.304316547,6.757763975,0,4.875,-0.780487805,-0.354321154,-1.597160354,0.625
95,6/4/2012,1660416,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.134532374,-0.037267081,0,-0.375,0.097560976,0.154914386,0.438698501,0.525
96,6/4/2012,1660841,FL,VEGETABLE AND MELON FARMING,0,1,-0.134532374,-0.037267081,0,-0.375,0.097560976,0.154914386,0.438698501,0.525
97,6/9/2012,1661141,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.170503597,0.763975155,1,-0.625,0.243902439,1.479169476,3.954912699,0.9375
98,6/1/2011,1629170,CO,VEGETABLE AND MELON FARMING,0,1,-0.079856115,4.01863354,0,0.375,-0.414634146,-0.207765943,0.152744958,0.1375
99,7/12/2010,1593355,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.161870504,0.658385093,1,-0.75,0.341463415,1.533369287,2.262710518,0.9375
100,6/11/2010,1656292,NY,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",19,1,0.826618705,-0.080745342,0,-0.6875,0.268292683,-0.085209653,-0.07036295,0
101,7/4/2012,1660562,IL,OILSEED AND GRAIN FARMING,0,0,-0.210791367,0.944099379,1,-0.5,-0.56097561,-0.139274639,0.025290448,1.25
102,6/5/2012,1659331,NM,VEGETABLE AND MELON FARMING,0,1,-0.212230216,9.583850932,0,0.9375,1.341463415,-0.292975597,-0.014536086,0.3125
103,2/1/2013,1695286,NC,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,-0.102877698,-0.236024845,0,-0.5,-0.048780488,0,0.621303938,0
104,11/1/2011,1643400,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0,0,0.022302158,-0.068322981,0,-0.25,0,0.154644735,0.134413218,0
105,2/1/2012,1718374,GA,POULTRY AND EGG PRODUCTION,0,0,0.828057554,0.130434783,0,-0.5,0.780487805,-0.100175273,0.602454487,0
