,findings_start_date,case_id,st_cd,industry,Length_alleged_violtn,Number_farm,Avg_farm_size,Num_task_forces,Fatal_rate,poverty_rate,num_establishments_Fewer_20employees,Avg_net_farm_income,labor_intensity,min_wage_federal,min_wage_min,min_wage_max,h2a_violtn_cnt
7688,2010-07-31,1662724,TN,VEGETABLE AND MELON FARMING,730.0,78300.0,139.0,0.0,5.4,16.7,698.0,10092.324393358876,1,7.25,7.25,7.25,0
7689,2012-05-27,1661036,NM,SUPPORT ACTIVITIES FOR CROP PRODUCTION,31.0,23800.0,1749.0,0.0,4.8,20.4,630.0,43460.50420168067,0,7.5,7.5,7.5,0
7690,2014-01-01,1738708,MI,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",231.0,51600.0,193.0,0.0,3.3,14.8,2221.0,12734.089147286822,1,8.15,8.15,8.15,0
7691,2012-02-06,1720684,LA,ANIMAL AQUACULTURE,730.0,29000.0,281.0,0.0,6.4,21.1,1374.0,47197.96551724138,1,7.25,7.25,7.25,0
7692,2010-04-22,1596351,TX,VEGETABLE AND MELON FARMING,13.0,247500.0,529.0,1.0,4.4,18.4,8872.0,18854.977777777778,1,7.25,7.25,7.25,0
7693,2011-11-01,1656954,FL,FRUIT AND TREE NUT FARMING,203.0,47500.0,195.0,0.0,2.9,14.9,3950.0,49330.6947368421,1,7.25,7.25,7.25,106
7694,2012-03-01,1736372,KY,OTHER CROP FARMING,670.0,85500.0,169.0,0.0,4.9,17.9,884.0,13437.157894736842,0,7.25,7.25,7.25,23
7695,2015-04-01,1763017,NC,VEGETABLE AND MELON FARMING,77.0,48800.0,170.0,0.0,3.4,15.3,2903.0,59113.75,1,7.25,7.25,7.25,2
7696,2010-07-17,1662547,MI,FRUIT AND TREE NUT FARMING,730.0,54900.0,182.0,0.0,3.6,15.7,2087.0,29316.86703096539,1,7.4,7.4,7.4,0
7697,2010-09-10,1662548,MI,FRUIT AND TREE NUT FARMING,675.0,54900.0,182.0,0.0,3.6,15.7,2087.0,29316.86703096539,1,7.4,7.4,7.4,0
